Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-01-02;0.00;14.32;0.00;0.00;5.40;2.16;0.12
2021-01-03;14.32;0.00;0.00;5.40;2.16;0.12;3.82
2021-01-04;0.00;0.00;5.40;2.16;0.12;3.82;14.61
2021-01-05;0.00;5.40;2.16;0.12;3.82;14.61;18.43
2021-01-06;5.40;2.16;0.12;3.82;14.61;18.43;2.40
2021-01-07;2.16;0.12;3.82;14.61;18.43;2.40;23.14
2021-01-08;0.12;3.82;14.61;18.43;2.40;23.14;8.01
2021-01-09;3.82;14.61;18.43;2.40;23.14;8.01;17.95
2021-01-10;14.61;18.43;2.40;23.14;8.01;17.95;9.49
2021-01-11;18.43;2.40;23.14;8.01;17.95;9.49;4.77
2021-01-12;2.40;23.14;8.01;17.95;9.49;4.77;0.00
2021-01-13;23.14;8.01;17.95;9.49;4.77;0.00;0.16
2021-01-14;8.01;17.95;9.49;4.77;0.00;0.16;0.00
2021-01-15;17.95;9.49;4.77;0.00;0.16;0.00;0.00
2021-01-16;9.49;4.77;0.00;0.16;0.00;0.00;0.04
2021-01-17;4.77;0.00;0.16;0.00;0.00;0.04;2.72
2021-01-18;0.00;0.16;0.00;0.00;0.04;2.72;9.12
2021-01-19;0.16;0.00;0.00;0.04;2.72;9.12;0.59
2021-01-20;0.00;0.00;0.04;2.72;9.12;0.59;6.32
2021-01-21;0.00;0.04;2.72;9.12;0.59;6.32;0.12
2021-01-22;0.04;2.72;9.12;0.59;6.32;0.12;1.17
2021-01-23;2.72;9.12;0.59;6.32;0.12;1.17;0.00
2021-01-24;9.12;0.59;6.32;0.12;1.17;0.00;0.00
2021-01-25;0.59;6.32;0.12;1.17;0.00;0.00;1.83
2021-01-26;6.32;0.12;1.17;0.00;0.00;1.83;0.16
2021-01-27;0.12;1.17;0.00;0.00;1.83;0.16;8.78
2021-01-28;1.17;0.00;0.00;1.83;0.16;8.78;0.01
2021-01-29;0.00;0.00;1.83;0.16;8.78;0.01;0.00
2021-01-30;0.00;1.83;0.16;8.78;0.01;0.00;39.12
2021-01-31;1.83;0.16;8.78;0.01;0.00;39.12;0.00
2021-02-01;0.16;8.78;0.01;0.00;39.12;0.00;0.00
2021-02-02;8.78;0.01;0.00;39.12;0.00;0.00;0.00
2021-02-03;0.01;0.00;39.12;0.00;0.00;0.00;0.00
2021-02-04;0.00;39.12;0.00;0.00;0.00;0.00;3.20
2021-02-05;39.12;0.00;0.00;0.00;0.00;3.20;15.45
2021-02-06;0.00;0.00;0.00;0.00;3.20;15.45;10.49
2021-02-07;0.00;0.00;0.00;3.20;15.45;10.49;9.50
2021-02-08;0.00;0.00;3.20;15.45;10.49;9.50;5.08
2021-02-09;0.00;3.20;15.45;10.49;9.50;5.08;0.12
2021-02-10;3.20;15.45;10.49;9.50;5.08;0.12;2.66
2021-02-11;15.45;10.49;9.50;5.08;0.12;2.66;9.88
