Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2021-01-02;0.00;3.64;0.06;0.00;10.28;8.42;0.01
2021-01-03;3.64;0.06;0.00;10.28;8.42;0.01;2.24
2021-01-04;0.06;0.00;10.28;8.42;0.01;2.24;2.54
2021-01-05;0.00;10.28;8.42;0.01;2.24;2.54;15.38
2021-01-06;10.28;8.42;0.01;2.24;2.54;15.38;5.46
2021-01-07;8.42;0.01;2.24;2.54;15.38;5.46;21.23
2021-01-08;0.01;2.24;2.54;15.38;5.46;21.23;2.71
2021-01-09;2.24;2.54;15.38;5.46;21.23;2.71;8.77
2021-01-10;2.54;15.38;5.46;21.23;2.71;8.77;3.83
2021-01-11;15.38;5.46;21.23;2.71;8.77;3.83;0.24
2021-01-12;5.46;21.23;2.71;8.77;3.83;0.24;0.02
2021-01-13;21.23;2.71;8.77;3.83;0.24;0.02;0.23
2021-01-14;2.71;8.77;3.83;0.24;0.02;0.23;0.00
2021-01-15;8.77;3.83;0.24;0.02;0.23;0.00;0.34
2021-01-16;3.83;0.24;0.02;0.23;0.00;0.34;0.00
2021-01-17;0.24;0.02;0.23;0.00;0.34;0.00;4.67
2021-01-18;0.02;0.23;0.00;0.34;0.00;4.67;1.00
2021-01-19;0.23;0.00;0.34;0.00;4.67;1.00;6.87
2021-01-20;0.00;0.34;0.00;4.67;1.00;6.87;4.87
2021-01-21;0.34;0.00;4.67;1.00;6.87;4.87;0.00
2021-01-22;0.00;4.67;1.00;6.87;4.87;0.00;5.93
2021-01-23;4.67;1.00;6.87;4.87;0.00;5.93;0.00
2021-01-24;1.00;6.87;4.87;0.00;5.93;0.00;0.00
2021-01-25;6.87;4.87;0.00;5.93;0.00;0.00;0.00
2021-01-26;4.87;0.00;5.93;0.00;0.00;0.00;0.00
2021-01-27;0.00;5.93;0.00;0.00;0.00;0.00;0.46
2021-01-28;5.93;0.00;0.00;0.00;0.00;0.46;0.02
2021-01-29;0.00;0.00;0.00;0.00;0.46;0.02;0.34
2021-01-30;0.00;0.00;0.00;0.46;0.02;0.34;10.42
2021-01-31;0.00;0.00;0.46;0.02;0.34;10.42;0.00
2021-02-01;0.00;0.46;0.02;0.34;10.42;0.00;0.00
2021-02-02;0.46;0.02;0.34;10.42;0.00;0.00;0.00
2021-02-03;0.02;0.34;10.42;0.00;0.00;0.00;0.03
2021-02-04;0.34;10.42;0.00;0.00;0.00;0.03;3.06
2021-02-05;10.42;0.00;0.00;0.00;0.03;3.06;21.97
2021-02-06;0.00;0.00;0.00;0.03;3.06;21.97;2.62
2021-02-07;0.00;0.00;0.03;3.06;21.97;2.62;6.11
2021-02-08;0.00;0.03;3.06;21.97;2.62;6.11;0.20
2021-02-09;0.03;3.06;21.97;2.62;6.11;0.20;0.13
2021-02-10;3.06;21.97;2.62;6.11;0.20;0.13;1.79
2021-02-11;21.97;2.62;6.11;0.20;0.13;1.79;6.51
2021-02-12;2.62;6.11;0.20;0.13;1.79;6.51;2.25
2021-02-13;6.11;0.20;0.13;1.79;6.51;2.25;0.00
2021-02-14;0.20;0.13;1.79;6.51;2.25;0.00;0.00
2021-02-15;0.13;1.79;6.51;2.25;0.00;0.00;1.07
2021-02-16;1.79;6.51;2.25;0.00;0.00;1.07;0.00
2021-02-17;6.51;2.25;0.00;0.00;1.07;0.00;0.00
2021-02-18;2.25;0.00;0.00;1.07;0.00;0.00;0.00
2021-02-19;0.00;0.00;1.07;0.00;0.00;0.00;2.88
2021-02-20;0.00;1.07;0.00;0.00;0.00;2.88;4.39
2021-02-21;1.07;0.00;0.00;0.00;2.88;4.39;1.80
2021-02-22;0.00;0.00;0.00;2.88;4.39;1.80;0.26
2021-02-23;0.00;0.00;2.88;4.39;1.80;0.26;0.14
2021-02-24;0.00;2.88;4.39;1.80;0.26;0.14;0.00
2021-02-25;2.88;4.39;1.80;0.26;0.14;0.00;0.00
2021-02-26;4.39;1.80;0.26;0.14;0.00;0.00;1.16
2021-02-27;1.80;0.26;0.14;0.00;0.00;1.16;5.71
2021-02-28;0.26;0.14;0.00;0.00;1.16;5.71;14.95
2021-03-01;0.14;0.00;0.00;1.16;5.71;14.95;4.82
2021-03-02;0.00;0.00;1.16;5.71;14.95;4.82;0.04
2021-03-03;0.00;1.16;5.71;14.95;4.82;0.04;0.51
2021-03-04;1.16;5.71;14.95;4.82;0.04;0.51;2.40
2021-03-05;5.71;14.95;4.82;0.04;0.51;2.40;0.53
2021-03-06;14.95;4.82;0.04;0.51;2.40;0.53;1.11
2021-03-07;4.82;0.04;0.51;2.40;0.53;1.11;0.00
2021-03-08;0.04;0.51;2.40;0.53;1.11;0.00;0.00
2021-03-09;0.51;2.40;0.53;1.11;0.00;0.00;0.00
2021-03-10;2.40;0.53;1.11;0.00;0.00;0.00;0.01
2021-03-11;0.53;1.11;0.00;0.00;0.00;0.01;0.82
2021-03-12;1.11;0.00;0.00;0.00;0.01;0.82;7.21
2021-03-13;0.00;0.00;0.00;0.01;0.82;7.21;1.59
2021-03-14;0.00;0.00;0.01;0.82;7.21;1.59;0.00
2021-03-15;0.00;0.01;0.82;7.21;1.59;0.00;0.00
2021-03-16;0.01;0.82;7.21;1.59;0.00;0.00;0.00
2021-03-17;0.82;7.21;1.59;0.00;0.00;0.00;0.00
2021-03-18;7.21;1.59;0.00;0.00;0.00;0.00;0.80
2021-03-19;1.59;0.00;0.00;0.00;0.00;0.80;0.00
2021-03-20;0.00;0.00;0.00;0.00;0.80;0.00;0.21
2021-03-21;0.00;0.00;0.00;0.80;0.00;0.21;1.45
2021-03-22;0.00;0.00;0.80;0.00;0.21;1.45;0.68
2021-03-23;0.00;0.80;0.00;0.21;1.45;0.68;0.52
2021-03-24;0.80;0.00;0.21;1.45;0.68;0.52;3.96
2021-03-25;0.00;0.21;1.45;0.68;0.52;3.96;0.00
2021-03-26;0.21;1.45;0.68;0.52;3.96;0.00;0.00
2021-03-27;1.45;0.68;0.52;3.96;0.00;0.00;0.00
2021-03-28;0.68;0.52;3.96;0.00;0.00;0.00;0.00
2021-03-29;0.52;3.96;0.00;0.00;0.00;0.00;0.00
2021-03-30;3.96;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-31;0.00;0.00;0.00;0.00;0.00;0.00;1.78
2021-04-01;0.00;0.00;0.00;0.00;0.00;1.78;0.00
2021-04-02;0.00;0.00;0.00;0.00;1.78;0.00;0.00
2021-04-03;0.00;0.00;0.00;1.78;0.00;0.00;0.00
2021-04-04;0.00;0.00;1.78;0.00;0.00;0.00;0.00
2021-04-05;0.00;1.78;0.00;0.00;0.00;0.00;0.00
2021-04-06;1.78;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-07;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-09;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
