Dia;Precipitacao;Vazao;Captacao;Evapotranspiracao
2015-01-01;1.600;10.341;0.000;4.281
2015-01-02;2.400;8.447;0.000;4.281
2015-01-03;0.200;7.399;0.000;4.281
2015-01-04;0.000;6.651;0.000;4.281
2015-01-05;0.000;5.918;0.000;4.281
2015-01-06;7.400;5.477;0.000;4.281
2015-01-07;3.600;5.499;0.000;4.281
2015-01-08;4.800;9.619;0.000;4.281
2015-01-09;0.000;10.160;0.000;4.281
2015-01-10;0.000;10.560;0.000;4.281
2015-01-11;0.000;9.945;0.000;4.281
2015-01-12;0.000;9.213;0.000;4.281
2015-01-13;0.000;8.090;0.000;4.281
2015-01-14;28.000;7.398;0.000;4.281
2015-01-15;0.400;8.018;0.000;4.281
2015-01-16;0.000;6.441;0.000;4.281
2015-01-17;0.000;6.035;0.000;4.281
2015-01-18;0.000;5.431;0.000;4.281
2015-01-19;0.400;4.544;0.000;4.281
2015-01-20;0.000;4.101;0.000;4.281
2015-01-21;8.400;3.591;0.000;4.281
2015-01-22;0.200;4.075;0.000;4.281
2015-01-23;2.000;4.628;0.000;4.281
2015-01-24;7.200;8.004;0.000;4.281
2015-01-25;0.000;10.128;0.000;4.281
2015-01-26;34.600;11.583;0.000;4.281
2015-01-27;0.200;29.928;0.000;4.281
2015-01-28;0.000;26.913;0.000;4.281
2015-01-29;0.000;20.010;0.000;4.281
2015-01-30;0.000;13.613;0.000;4.281
2015-01-31;15.800;11.150;0.000;4.281
2015-02-01;0.000;9.359;0.000;4.377
2015-02-02;0.800;8.321;0.000;4.377
2015-02-03;0.000;10.997;0.000;4.377
2015-02-04;4.000;18.052;0.000;4.377
2015-02-05;49.800;16.759;0.000;4.377
2015-02-06;13.400;20.718;0.000;4.377
2015-02-07;0.000;19.937;0.000;4.377
2015-02-08;0.000;16.843;0.000;4.377
2015-02-09;23.400;13.663;0.000;4.377
2015-02-10;36.200;19.732;0.000;4.377
2015-02-11;0.000;16.467;0.000;4.377
2015-02-12;0.000;18.023;0.000;4.377
2015-02-13;0.000;17.256;0.000;4.377
2015-02-14;0.000;15.614;0.000;4.377
2015-02-15;33.400;14.435;0.000;4.377
2015-02-16;20.600;20.551;0.000;4.377
2015-02-17;58.400;33.270;0.000;4.377
2015-02-18;21.200;40.010;0.000;4.377
2015-02-19;5.400;40.650;0.000;4.377
2015-02-20;0.600;38.112;0.000;4.377
2015-02-21;0.000;33.554;0.000;4.377
2015-02-22;0.000;29.023;0.000;4.377
2015-02-23;0.000;23.419;0.000;4.377
2015-02-24;2.000;18.291;0.000;4.377
2015-02-25;8.800;14.627;0.000;4.377
2015-02-26;0.000;15.390;0.000;4.377
2015-02-27;20.200;18.033;0.000;4.377
2015-02-28;2.400;18.641;0.000;4.377
2015-03-01;0.000;18.002;0.000;3.878
2015-03-02;0.000;16.467;0.000;3.878
2015-03-03;0.000;14.253;0.000;3.878
2015-03-04;0.000;12.514;0.000;3.878
2015-03-05;13.000;11.241;0.000;3.878
2015-03-06;13.000;11.416;0.000;3.878
2015-03-07;41.200;14.670;0.000;3.878
2015-03-08;1.400;31.088;0.000;3.878
2015-03-09;4.800;25.522;0.000;3.878
2015-03-10;19.400;26.338;0.000;3.878
2015-03-11;9.800;36.085;0.000;3.878
2015-03-12;5.600;39.854;0.000;3.878
2015-03-13;0.400;36.741;0.000;3.878
2015-03-14;0.600;31.410;0.000;3.878
2015-03-15;44.200;29.585;0.000;3.878
2015-03-16;13.600;49.277;0.000;3.878
2015-03-17;0.400;45.026;0.000;3.878
2015-03-18;3.000;44.659;0.000;3.878
2015-03-19;0.400;37.720;0.000;3.878
2015-03-20;2.600;37.810;0.000;3.878
2015-03-21;8.800;41.646;0.000;3.878
2015-03-22;1.200;35.751;0.000;3.878
2015-03-23;0.000;33.417;0.000;3.878
2015-03-24;0.000;28.754;0.000;3.878
2015-03-25;0.000;24.701;0.000;3.878
2015-03-26;0.000;22.209;0.000;3.878
2015-03-27;0.000;20.750;0.000;3.878
2015-03-28;4.000;19.243;0.000;3.878
2015-03-29;2.400;18.724;0.000;3.878
2015-03-30;1.000;18.986;0.000;3.878
2015-03-31;0.000;18.761;0.000;3.878
2015-04-01;0.200;17.948;0.000;3.104
2015-04-02;0.000;17.347;0.000;3.104
2015-04-03;0.000;16.599;0.000;3.104
2015-04-04;0.000;16.020;0.000;3.104
2015-04-05;14.000;15.524;0.000;3.104
2015-04-06;0.000;16.518;0.000;3.104
2015-04-07;0.200;15.868;0.000;3.104
2015-04-08;0.000;14.939;0.000;3.104
2015-04-09;0.000;14.724;0.000;3.104
2015-04-10;0.000;14.378;0.000;3.104
2015-04-11;0.000;13.950;0.000;3.104
2015-04-12;0.000;13.397;0.000;3.104
2015-04-13;0.000;13.204;0.000;3.104
2015-04-14;0.000;9.184;0.000;3.104
2015-04-15;9.800;6.327;0.000;3.104
2015-04-16;0.200;6.289;0.000;3.104
2015-04-17;0.000;7.259;0.000;3.104
2015-04-18;0.000;6.331;0.000;3.104
2015-04-19;13.000;5.776;0.000;3.104
2015-04-20;0.000;5.543;0.000;3.104
2015-04-21;4.400;5.917;0.000;3.104
2015-04-22;0.600;6.576;0.000;3.104
2015-04-23;0.000;7.182;0.000;3.104
2015-04-24;0.000;7.553;0.000;3.104
2015-04-25;0.000;6.991;0.000;3.104
2015-04-26;0.000;6.497;0.000;3.104
2015-04-27;0.000;6.092;0.000;3.104
2015-04-28;0.000;5.838;0.000;3.104
2015-04-29;0.000;5.719;0.000;3.104
2015-04-30;0.000;5.405;0.000;3.104
2015-05-01;0.000;4.905;0.000;1.867
2015-05-02;0.000;4.516;0.000;1.867
2015-05-03;0.000;4.300;0.000;1.867
2015-05-04;9.000;4.442;0.000;1.867
2015-05-05;0.000;5.021;0.000;1.867
2015-05-06;0.000;5.472;0.000;1.867
2015-05-07;0.000;5.737;0.000;1.867
2015-05-08;0.000;5.776;0.000;1.867
2015-05-09;0.000;5.640;0.000;1.867
2015-05-10;23.400;5.371;0.000;1.867
2015-05-11;0.200;8.921;0.000;1.867
2015-05-12;0.000;11.350;0.000;1.867
2015-05-13;0.000;10.406;0.000;1.867
2015-05-14;0.000;9.090;0.000;1.867
2015-05-15;0.000;8.032;0.000;1.867
2015-05-16;0.000;7.162;0.000;1.867
2015-05-17;0.200;6.251;0.000;1.867
2015-05-18;0.600;5.795;0.000;1.867
2015-05-19;0.000;5.811;0.000;1.867
2015-05-20;1.200;6.368;0.000;1.867
2015-05-21;0.200;6.440;0.000;1.867
2015-05-22;0.000;6.079;0.000;1.867
2015-05-23;0.000;5.859;0.000;1.867
2015-05-24;0.200;5.366;0.000;1.867
2015-05-25;0.200;5.176;0.000;1.867
2015-05-26;0.000;5.381;0.000;1.867
2015-05-27;1.000;5.540;0.000;1.867
2015-05-28;3.200;5.630;0.000;1.867
2015-05-29;2.600;6.551;0.000;1.867
2015-05-30;5.400;7.188;0.000;1.867
2015-05-31;18.000;9.524;0.000;1.867
2015-06-01;0.200;11.603;0.000;1.583
2015-06-02;0.200;12.773;0.000;1.583
2015-06-03;0.200;11.523;0.000;1.583
2015-06-04;0.000;10.368;0.000;1.583
2015-06-05;0.200;8.526;0.000;1.583
2015-06-06;0.200;7.454;0.000;1.583
2015-06-07;0.000;6.474;0.000;1.583
2015-06-08;0.200;6.008;0.000;1.583
2015-06-09;0.400;5.679;0.000;1.583
2015-06-10;0.000;5.452;0.000;1.583
2015-06-11;0.000;5.266;0.000;1.583
2015-06-12;0.000;5.128;0.000;1.583
2015-06-13;0.000;5.160;0.000;1.583
2015-06-14;0.000;5.051;0.000;1.583
2015-06-15;6.400;5.181;0.000;1.583
2015-06-16;0.000;6.100;0.000;1.583
2015-06-17;0.000;6.623;0.000;1.583
2015-06-18;15.400;6.844;0.000;1.583
2015-06-19;0.000;7.334;0.000;1.583
2015-06-20;0.000;7.518;0.000;1.583
2015-06-21;0.000;7.370;0.000;1.583
2015-06-22;0.200;7.249;0.000;1.583
2015-06-23;0.400;7.112;0.000;1.583
2015-06-24;0.400;6.463;0.000;1.583
2015-06-25;0.000;6.002;0.000;1.583
2015-06-26;0.000;5.686;0.000;1.583
2015-06-27;0.000;5.411;0.000;1.583
2015-06-28;0.000;4.977;0.000;1.583
2015-06-29;0.200;4.926;0.000;1.583
2015-06-30;0.400;5.182;0.000;1.583
2015-07-01;1.600;5.415;0.000;1.532
2015-07-02;0.800;5.400;0.000;1.532
2015-07-03;3.200;5.589;0.000;1.532
2015-07-04;1.800;6.255;0.000;1.532
2015-07-05;0.000;7.049;0.000;1.532
2015-07-06;0.000;7.477;0.000;1.532
2015-07-07;3.000;7.527;0.000;1.532
2015-07-08;3.600;7.792;0.000;1.532
2015-07-09;0.000;7.822;0.000;1.532
2015-07-10;0.000;7.450;0.000;1.532
2015-07-11;1.400;6.960;0.000;1.532
2015-07-12;0.200;6.395;0.000;1.532
2015-07-13;0.000;5.910;0.000;1.532
2015-07-14;0.000;5.675;0.000;1.532
2015-07-15;0.000;5.370;0.000;1.532
2015-07-16;0.000;5.071;0.000;1.532
2015-07-17;0.000;4.783;0.000;1.532
2015-07-18;0.000;4.636;0.000;1.532
2015-07-19;0.000;4.489;0.000;1.532
2015-07-20;0.000;4.583;0.000;1.532
2015-07-21;0.400;4.874;0.000;1.532
2015-07-22;0.000;6.022;0.000;1.532
2015-07-23;0.000;6.111;0.000;1.532
2015-07-24;2.200;5.847;0.000;1.532
2015-07-25;13.200;7.784;0.000;1.532
2015-07-26;0.200;9.318;0.000;1.532
2015-07-27;0.200;10.492;0.000;1.532
2015-07-28;0.000;9.542;0.000;1.532
2015-07-29;0.000;8.577;0.000;1.532
2015-07-30;0.000;8.064;0.000;1.532
2015-07-31;0.000;6.434;0.000;1.532
2015-08-01;0.000;5.572;0.000;1.916
2015-08-02;0.000;5.352;0.000;1.916
2015-08-03;0.000;4.614;0.000;1.916
2015-08-04;0.000;4.540;0.000;1.916
2015-08-05;0.000;4.607;0.000;1.916
2015-08-06;0.400;5.332;0.000;1.916
2015-08-07;0.000;5.672;0.000;1.916
2015-08-08;0.000;5.876;0.000;1.916
2015-08-09;0.000;5.446;0.000;1.916
2015-08-10;0.000;5.476;0.000;1.916
2015-08-11;0.000;5.787;0.000;1.916
2015-08-12;0.000;6.604;0.000;1.916
2015-08-13;0.000;6.887;0.000;1.916
2015-08-14;0.000;6.137;0.000;1.916
2015-08-15;0.000;5.496;0.000;1.916
2015-08-16;0.000;5.339;0.000;1.916
2015-08-17;0.000;5.103;0.000;1.916
