Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2018-07-31;3.1;0.5;7.1;0.1;3.7;32.8;0.4
2018-08-01;15.2;9.9;0.2;0.0;27.1;2.4;0.0
2018-08-02;19.9;1.9;1.0;9.3;2.9;0.5;5.8
2018-08-03;1.0;0.3;8.7;2.7;0.0;3.3;0.1
2018-08-04;0.7;4.6;3.9;0.0;2.9;0.0;0.0
2018-08-05;28.4;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-07;0.1;4.2;0.0;0.0;0.0;0.0;0.0
2018-08-08;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-10;0.0;0.0;0.0;0.0;0.0;0.0;1.2
2018-08-11;0.0;0.0;0.0;0.0;0.0;2.5;7.8
2018-08-12;0.0;0.0;0.0;0.0;1.5;3.7;0.1
2018-08-13;0.0;0.0;0.0;0.0;0.0;0.0;0.2
2018-08-14;0.0;0.0;0.5;0.1;0.0;0.0;0.0
2018-08-15;0.0;4.3;0.0;0.0;0.0;0.0;0.0
2018-08-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-17;0.4;0.0;0.0;0.0;0.0;0.0;0.0
2018-08-18;0.0;0.0;0.0;0.2;0.0;0.0;0.2
2018-08-19;0.0;0.0;0.0;0.0;0.0;4.4;0.2
2018-08-20;0.0;0.0;0.0;0.0;0.8;0.0;0.4
2018-08-21;0.0;0.1;0.0;3.8;0.0;0.0;0.0
2018-08-22;0.2;0.0;12.8;0.3;0.0;0.0;0.0
2018-08-23;0.1;12.3;0.2;0.0;0.0;0.0;0.0
2018-08-24;14.5;0.0;0.0;4.0;0.3;0.0;0.0
2018-08-25;0.2;0.0;0.1;0.0;0.0;0.0;0.0
2018-08-26;0.0;0.0;0.0;0.0;0.0;0.0;0.3
2018-08-27;0.0;0.0;0.0;0.0;0.0;3.0;0.0
2018-08-28;0.0;0.0;0.0;0.0;1.6;0.0;0.0
2018-08-29;0.0;0.0;0.0;0.1;2.9;0.0;0.0
2018-08-30;0.0;0.0;0.0;2.6;0.2;0.0;0.0
2018-08-31;0.0;0.1;0.8;0.0;0.0;0.0;0.0
2018-09-01;0.0;1.7;0.4;0.0;0.0;0.0;0.0
2018-09-02;1.1;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-03;1.9;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-09-08;0.0;0.0;0.1;0.0;0.1;0.8;1.6
2018-09-09;0.0;0.0;0.0;2.2;4.1;1.0;9.8
2018-09-10;0.0;0.1;3.0;10.6;24.8;18.0;0.5
2018-09-11;0.1;1.5;8.4;28.2;21.7;1.0;0.0
2018-09-12;2.6;3.3;17.3;29.0;2.1;0.0;0.0
2018-09-13;20.1;2.3;1.5;18.6;0.6;3.9;32.5
2018-09-14;3.5;0.0;19.9;1.0;0.0;4.6;3.2
2018-09-15;0.0;24.7;0.0;0.3;1.2;4.6;0.0
2018-09-16;1.0;0.5;5.0;26.5;0.0;0.0;0.0
2018-09-17;2.8;0.0;24.0;0.0;0.0;0.1;0.5
2018-09-18;2.5;20.0;11.4;0.0;0.0;0.0;0.4
2018-09-19;8.6;7.9;1.1;3.5;2.4;4.3;0.5
2018-09-20;0.1;0.0;0.0;0.0;0.0;0.0;0.1
2018-09-21;0.0;0.0;0.0;0.0;0.3;1.0;1.2
2018-09-22;0.0;0.0;0.0;1.6;1.5;6.0;3.9
2018-09-23;0.0;0.0;0.4;1.8;17.8;4.6;0.1
