Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2018-07-31;3.800;0.800;6.700;0.100;2.900;29.700;0.600
2018-08-01;14.100;8.900;0.300;0.000;30.200;3.000;0.100
2018-08-02;34.200;1.100;0.900;10.900;3.200;0.800;4.300
2018-08-03;0.700;0.300;9.500;2.000;0.000;4.400;0.100
2018-08-04;0.400;5.500;5.100;0.000;3.900;0.200;0.000
2018-08-05;29.800;0.200;0.000;0.000;0.000;0.000;0.000
2018-08-06;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-07;0.000;8.900;0.000;0.000;0.000;0.000;0.000
2018-08-08;0.800;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-09;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-10;0.000;0.000;0.000;0.000;0.000;0.000;0.200
2018-08-11;0.000;0.000;0.000;0.000;0.000;3.300;9.700
2018-08-12;0.000;0.000;0.000;0.000;1.000;3.100;0.200
2018-08-13;0.000;0.000;0.000;0.100;0.000;0.000;0.400
2018-08-14;0.000;0.000;1.000;0.400;0.000;0.000;0.000
2018-08-15;0.000;3.900;0.100;0.000;0.000;0.000;0.000
2018-08-16;0.200;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-17;0.500;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-18;0.000;0.000;0.000;0.100;0.000;0.000;0.000
2018-08-19;0.000;0.000;0.000;0.000;0.000;7.500;0.100
2018-08-20;0.000;0.000;0.000;0.000;0.400;0.200;1.000
2018-08-21;0.000;0.100;0.000;4.500;0.100;0.100;0.000
2018-08-22;0.400;0.000;8.000;0.500;0.100;0.000;0.000
2018-08-23;0.000;18.600;0.300;0.100;0.000;0.000;0.000
2018-08-24;16.900;0.300;0.000;4.800;0.600;0.000;0.000
2018-08-25;0.300;0.100;0.100;0.000;0.000;0.000;0.000
2018-08-26;0.100;0.000;0.000;0.000;0.000;0.000;0.100
2018-08-27;0.000;0.000;0.000;0.000;0.000;3.600;0.000
2018-08-28;0.000;0.000;0.000;0.000;1.000;0.100;0.000
2018-08-29;0.000;0.000;0.000;0.100;1.300;0.200;0.000
2018-08-30;0.000;0.000;0.000;1.600;0.300;0.000;0.000
2018-08-31;0.000;0.000;0.300;0.200;0.000;0.000;0.000
2018-09-01;0.000;1.000;0.900;0.000;0.000;0.000;0.000
2018-09-02;0.900;0.100;0.000;0.000;0.000;0.000;0.000
2018-09-03;2.300;0.000;0.000;0.000;0.000;0.100;0.200
2018-09-04;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-05;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-06;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-07;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-08;0.000;0.000;0.100;0.000;0.300;1.200;0.800
2018-09-09;0.000;0.100;0.000;2.800;4.400;1.400;11.800
2018-09-10;0.100;0.000;3.400;20.400;27.100;15.200;0.600
2018-09-11;0.000;1.300;13.100;25.500;20.100;0.800;0.000
2018-09-12;4.900;2.800;19.100;22.500;2.300;0.000;0.000
2018-09-13;28.300;3.200;0.700;15.300;0.700;1.900;35.300
2018-09-14;4.800;0.000;18.300;0.800;0.000;4.500;3.200
2018-09-15;0.000;15.800;0.000;0.200;0.400;5.500;0.000
2018-09-16;0.800;0.400;4.800;33.800;0.000;0.000;0.000
2018-09-17;2.300;0.100;18.800;0.100;0.000;0.100;0.900
2018-09-18;1.500;19.300;11.100;0.000;0.000;0.000;0.900
