Dia;PrevD1;PrevD2;PrevD3;PrevD4;PrevD5;PrevD6;PrevD7
2018-07-31;3.100;0.500;7.100;0.100;3.700;32.800;0.400
2018-08-01;15.200;9.900;0.200;0.000;27.100;2.400;0.000
2018-08-02;19.900;1.900;1.000;9.300;2.900;0.500;5.800
2018-08-03;1.000;0.300;8.700;2.700;0.000;3.300;0.100
2018-08-04;0.700;4.600;3.900;0.000;2.900;0.000;0.000
2018-08-05;28.400;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-06;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-07;0.100;4.200;0.000;0.000;0.000;0.000;0.000
2018-08-08;1.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-09;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-10;0.000;0.000;0.000;0.000;0.000;0.000;1.200
2018-08-11;0.000;0.000;0.000;0.000;0.000;2.500;7.800
2018-08-12;0.000;0.000;0.000;0.000;1.500;3.700;0.100
2018-08-13;0.000;0.000;0.000;0.000;0.000;0.000;0.200
2018-08-14;0.000;0.000;0.500;0.100;0.000;0.000;0.000
2018-08-15;0.000;4.300;0.000;0.000;0.000;0.000;0.000
2018-08-16;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-17;0.400;0.000;0.000;0.000;0.000;0.000;0.000
2018-08-18;0.000;0.000;0.000;0.200;0.000;0.000;0.200
2018-08-19;0.000;0.000;0.000;0.000;0.000;4.400;0.200
2018-08-20;0.000;0.000;0.000;0.000;0.800;0.000;0.400
2018-08-21;0.000;0.100;0.000;3.800;0.000;0.000;0.000
2018-08-22;0.200;0.000;12.800;0.300;0.000;0.000;0.000
2018-08-23;0.100;12.300;0.200;0.000;0.000;0.000;0.000
2018-08-24;14.500;0.000;0.000;4.000;0.300;0.000;0.000
2018-08-25;0.200;0.000;0.100;0.000;0.000;0.000;0.000
2018-08-26;0.000;0.000;0.000;0.000;0.000;0.000;0.300
2018-08-27;0.000;0.000;0.000;0.000;0.000;3.000;0.000
2018-08-28;0.000;0.000;0.000;0.000;1.600;0.000;0.000
2018-08-29;0.000;0.000;0.000;0.100;2.900;0.000;0.000
2018-08-30;0.000;0.000;0.000;2.600;0.200;0.000;0.000
2018-08-31;0.000;0.100;0.800;0.000;0.000;0.000;0.000
2018-09-01;0.000;1.700;0.400;0.000;0.000;0.000;0.000
2018-09-02;1.100;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-03;1.900;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-04;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-05;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-06;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-07;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-09-08;0.000;0.000;0.100;0.000;0.100;0.800;1.600
2018-09-09;0.000;0.000;0.000;2.200;4.100;1.000;9.800
2018-09-10;0.000;0.100;3.000;10.600;24.800;18.000;0.500
2018-09-11;0.100;1.500;8.400;28.200;21.700;1.000;0.000
2018-09-12;2.600;3.300;17.300;29.000;2.100;0.000;0.000
2018-09-13;20.100;2.300;1.500;18.600;0.600;3.900;32.500
2018-09-14;3.500;0.000;19.900;1.000;0.000;4.600;3.200
2018-09-15;0.000;24.700;0.000;0.300;1.200;4.600;0.000
2018-09-16;1.000;0.500;5.000;26.500;0.000;0.000;0.000
2018-09-17;2.800;0.000;24.000;0.000;0.000;0.100;0.500
2018-09-18;2.500;20.000;11.400;0.000;0.000;0.000;0.400
2018-09-19;8.600;7.900;1.100;3.500;2.400;4.300;0.500
2018-09-20;0.100;0.000;0.000;0.000;0.000;0.000;0.100
2018-09-21;0.000;0.000;0.000;0.000;0.300;1.000;1.200
2018-09-22;0.000;0.000;0.000;1.600;1.500;6.000;3.900
2018-09-23;0.000;0.000;0.400;1.800;17.800;4.600;0.100
2018-09-24;0.200;0.700;0.500;7.500;12.800;8.700;1.100
2018-09-25;2.200;4.100;2.000;6.500;11.000;13.000;0.100
2018-09-26;1.100;2.700;2.000;7.100;7.800;0.700;0.000
2018-09-27;0.300;0.100;6.300;2.800;0.400;0.200;0.200
2018-09-28;1.900;8.700;6.300;1.200;2.100;0.100;0.200
2018-09-29;2.100;9.300;0.000;0.700;0.400;10.400;0.200
