Dia;PrevD1;PrevD2;PrevD3;PrevD4
2020-09-21;0.898;26.157;3.671;0.441
2020-09-22;32.615;0.304;0.366;0.007
2020-09-23;1.994;0.007;0.008;0.002
2020-09-24;0.058;0.004;0.000;0.000
2020-09-25;0.060;0.012;0.000;0.000
2020-09-26;0.016;0.000;0.153;0.071
2020-09-27;0.000;0.096;0.322;0.079
2020-09-28;0.102;0.374;0.319;0.000
2020-09-29;0.165;0.193;0.108;0.001
2020-09-30;0.346;0.087;0.177;0.009
2020-10-01;0.172;0.303;0.365;0.697
2020-10-02;0.322;0.028;0.430;0.009
2020-10-03;0.162;0.488;0.128;0.000
2020-10-04;0.463;0.173;0.377;0.001
2020-10-05;0.239;0.046;0.593;0.012
2020-10-06;0.123;0.512;0.103;0.084
2020-10-07;0.665;0.097;1.126;1.408
2020-10-08;0.989;1.513;5.291;0.103
2020-10-09;6.834;3.148;0.000;0.000
2020-10-10;1.704;0.009;0.065;0.080
2020-10-11;0.001;0.000;0.509;0.001
2020-10-12;0.472;0.022;0.247;0.022
2020-10-13;0.026;1.205;0.834;0.183
2020-10-14;0.256;0.847;11.585;0.443
2020-10-15;1.064;0.087;0.049;0.000
2020-10-16;0.923;0.030;0.000;0.000
2020-10-17;0.020;0.008;1.773;0.013
2020-10-18;0.143;5.391;8.941;0.069
2020-10-19;8.079;2.727;4.218;0.009
2020-10-20;7.424;0.369;0.125;0.003
2020-10-21;2.963;0.018;0.000;0.000
2020-10-22;0.025;0.023;0.951;0.377
2020-10-23;1.081;5.458;16.548;0.077
2020-10-24;8.532;5.480;0.910;0.000
2020-10-25;12.804;0.071;0.861;6.571
2020-10-26;0.247;11.028;1.292;0.000
2020-10-27;1.669;0.000;0.139;18.373
2020-10-28;0.089;0.000;9.987;0.595
2020-10-29;0.036;7.463;2.763;0.386
2020-10-30;16.632;1.184;0.438;0.021
2020-10-31;0.849;1.080;0.046;0.013
2020-11-01;0.498;0.153;0.028;0.007
2020-11-02;0.069;1.878;7.436;0.024
2020-11-03;10.398;4.377;2.773;0.086
2020-11-04;2.139;1.764;0.031;0.010
2020-11-05;2.580;0.081;0.015;0.076
2020-11-06;0.058;0.019;0.016;0.020
2020-11-07;0.021;0.082;2.196;0.485
2020-11-08;0.028;3.115;17.919;0.554
2020-11-09;1.225;6.846;26.616;4.128
2020-11-10;2.413;1.698;8.132;0.000
2020-11-11;2.459;16.376;16.682;0.000
2020-11-12;2.398;7.007;9.265;0.087
2020-11-13;5.801;1.904;0.697;0.000
2020-11-14;8.306;0.507;0.141;0.019
2020-11-15;0.361;1.842;21.923;0.160
2020-11-16;1.505;10.014;13.771;22.145
2020-11-17;10.834;14.632;10.582;0.120
2020-11-18;16.776;19.593;0.653;0.026
2020-11-19;3.635;0.739;0.120;0.002
2020-11-20;0.440;0.694;15.465;0.044
2020-11-21;0.264;6.229;10.114;0.028
2020-11-22;2.922;7.404;6.683;0.002
2020-11-23;0.090;0.981;0.215;0.000
2020-11-24;0.448;0.181;0.300;0.000
2020-11-25;0.149;0.281;0.141;0.057
2020-11-26;1.638;1.702;0.017;0.000
2020-11-27;1.546;0.010;0.014;0.000
2020-11-28;0.178;0.769;1.172;0.008
2020-11-29;2.650;4.448;6.842;8.803
2020-11-30;5.671;16.984;1.720;0.013
2020-12-01;6.175;16.125;15.122;0.801
2020-12-02;10.895;2.938;1.592;0.003
2020-12-03;0.134;6.594;2.192;0.755
2020-12-04;7.412;0.678;29.985;6.189
2020-12-05;1.829;41.621;17.738;9.897
2020-12-06;3.437;47.664;8.242;0.042
