Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2018-07-31,3.8,0.8,6.7,0.1,2.9,29.7,0.6
2018-08-01,14.1,8.9,0.3,0.0,30.2,3.0,0.1
2018-08-02,34.2,1.1,0.9,10.9,3.2,0.8,4.3
2018-08-03,0.7,0.3,9.5,2.0,0.0,4.4,0.1
2018-08-04,0.4,5.5,5.1,0.0,3.9,0.2,0.0
2018-08-05,29.8,0.2,0.0,0.0,0.0,0.0,0.0
2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-07,0.0,8.9,0.0,0.0,0.0,0.0,0.0
2018-08-08,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2018-08-11,0.0,0.0,0.0,0.0,0.0,3.3,9.7
2018-08-12,0.0,0.0,0.0,0.0,1.0,3.1,0.2
2018-08-13,0.0,0.0,0.0,0.1,0.0,0.0,0.4
2018-08-14,0.0,0.0,1.0,0.4,0.0,0.0,0.0
2018-08-15,0.0,3.9,0.1,0.0,0.0,0.0,0.0
2018-08-16,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-18,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2018-08-19,0.0,0.0,0.0,0.0,0.0,7.5,0.1
2018-08-20,0.0,0.0,0.0,0.0,0.4,0.2,1.0
2018-08-21,0.0,0.1,0.0,4.5,0.1,0.1,0.0
2018-08-22,0.4,0.0,8.0,0.5,0.1,0.0,0.0
2018-08-23,0.0,18.6,0.3,0.1,0.0,0.0,0.0
2018-08-24,16.9,0.3,0.0,4.8,0.6,0.0,0.0
2018-08-25,0.3,0.1,0.1,0.0,0.0,0.0,0.0
2018-08-26,0.1,0.0,0.0,0.0,0.0,0.0,0.1
2018-08-27,0.0,0.0,0.0,0.0,0.0,3.6,0.0
2018-08-28,0.0,0.0,0.0,0.0,1.0,0.1,0.0
2018-08-29,0.0,0.0,0.0,0.1,1.3,0.2,0.0
2018-08-30,0.0,0.0,0.0,1.6,0.3,0.0,0.0
2018-08-31,0.0,0.0,0.3,0.2,0.0,0.0,0.0
2018-09-01,0.0,1.0,0.9,0.0,0.0,0.0,0.0
2018-09-02,0.9,0.1,0.0,0.0,0.0,0.0,0.0
2018-09-03,2.3,0.0,0.0,0.0,0.0,0.1,0.2
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-08,0.0,0.0,0.1,0.0,0.3,1.2,0.8
2018-09-09,0.0,0.1,0.0,2.8,4.4,1.4,11.8
2018-09-10,0.1,0.0,3.4,20.4,27.1,15.2,0.6
2018-09-11,0.0,1.3,13.1,25.5,20.1,0.8,0.0
2018-09-12,4.9,2.8,19.1,22.5,2.3,0.0,0.0
2018-09-13,28.3,3.2,0.7,15.3,0.7,1.9,35.3
2018-09-14,4.8,0.0,18.3,0.8,0.0,4.5,3.2
2018-09-15,0.0,15.8,0.0,0.2,0.4,5.5,0.0
2018-09-16,0.8,0.4,4.8,33.8,0.0,0.0,0.0
2018-09-17,2.3,0.1,18.8,0.1,0.0,0.1,0.9
2018-09-18,1.5,19.3,11.1,0.0,0.0,0.0,0.9
2018-09-19,6.4,9.4,1.8,4.6,4.0,3.8,0.7
2018-09-20,0.2,0.0,0.0,0.0,0.0,0.0,0.1
2018-09-21,0.0,0.0,0.0,0.0,0.5,0.9,0.9
2018-09-22,0.0,0.0,0.0,1.0,1.6,8.6,3.8
2018-09-23,0.0,0.0,0.7,2.2,9.4,9.1,0.1
2018-09-24,0.7,0.8,0.3,3.6,5.0,7.4,0.7
2018-09-25,1.6,11.9,2.3,4.4,9.4,23.7,0.1
2018-09-26,4.4,1.9,3.6,7.3,7.6,1.0,0.0
2018-09-27,0.4,0.2,5.0,4.0,0.3,0.3,0.3
2018-09-28,1.4,5.1,4.6,1.4,2.1,0.2,0.4
2018-09-29,3.4,9.2,0.1,0.8,0.1,14.5,0.3
2018-09-30,0.2,0.8,0.1,0.1,0.9,0.3,1.0
2018-10-01,0.0,2.6,0.2,5.0,0.5,0.0,19.2
2018-10-02,0.4,0.1,0.9,0.8,6.6,7.2,0.9
2018-10-03,0.1,0.8,6.6,12.5,18.2,6.4,3.1
2018-10-04,2.3,20.1,12.1,4.8,0.1,0.7,0.0
