Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2022-10-23,0.145,3.573,0.405,0.067,0.000,0.000,0.068
2022-10-24,2.376,0.039,0.180,0.010,18.832,2.066,14.118
2022-10-25,0.177,0.083,0.001,8.193,1.621,9.463,2.353
2022-10-26,0.089,0.073,6.875,15.214,2.209,2.771,7.745
2022-10-27,0.030,3.923,7.360,4.314,1.760,6.324,9.179
2022-10-28,6.540,2.007,5.747,19.818,5.434,2.202,0.868
2022-10-29,0.479,3.409,2.779,10.462,2.028,0.609,1.452
2022-10-30,6.430,9.014,4.327,4.964,1.524,1.033,0.177
2022-10-31,7.961,6.441,8.300,1.488,0.898,1.716,0.757
2022-11-01,4.521,8.695,3.921,0.865,2.355,1.179,1.200
2022-11-02,7.723,1.629,1.555,2.856,1.203,1.372,0.777
2022-11-03,1.628,1.093,0.943,0.129,0.313,16.269,10.848
2022-11-04,0.151,0.270,0.318,1.342,2.731,14.645,12.635
2022-11-05,0.459,0.834,5.337,6.994,4.172,0.442,0.213
2022-11-06,0.326,3.753,3.058,7.426,2.581,0.432,9.883
2022-11-07,1.470,3.796,42.389,4.845,4.043,15.079,7.103
2022-11-08,0.240,29.962,7.043,8.753,20.573,9.480,6.676
2022-11-09,8.907,11.444,5.192,13.829,6.502,8.554,9.242
2022-11-10,0.100,3.216,13.178,8.618,5.224,25.566,1.527
2022-11-11,0.944,3.029,6.483,5.480,15.990,0.571,0.900
2022-11-12,2.430,0.039,8.416,21.109,0.332,0.130,0.114
2022-11-13,0.057,3.082,12.851,0.051,0.070,0.044,0.055
2022-11-14,8.603,14.409,0.144,0.016,0.234,0.067,0.005
2022-11-15,1.247,0.011,0.017,0.004,0.006,0.059,0.076
2022-11-16,0.079,0.001,0.002,0.028,0.002,0.003,0.002
2022-11-17,0.000,0.006,0.004,0.128,0.049,0.132,10.527
2022-11-18,0.044,0.013,1.490,0.146,2.431,10.535,27.231
2022-11-19,0.740,2.979,0.307,0.272,18.064,57.608,21.291
2022-11-20,3.716,0.169,0.810,3.571,25.777,11.671,2.502
2022-11-21,1.431,0.653,30.920,71.795,32.113,14.662,11.422
2022-11-22,3.774,27.793,11.350,1.234,13.906,10.051,4.575
