Dia,PrevD1,PrevD2,PrevD3,PrevD4
2020-09-21,0.617,27.058,2.460,0.096
2020-09-22,31.858,0.192,0.068,0.001
2020-09-23,3.131,0.001,0.007,0.000
2020-09-24,0.037,0.000,0.000,0.000
2020-09-25,0.035,0.001,0.000,0.000
2020-09-26,0.004,0.000,0.085,0.034
2020-09-27,0.000,0.044,0.108,0.085
2020-09-28,0.187,0.119,0.168,0.000
2020-09-29,0.122,0.189,0.051,0.000
2020-09-30,0.306,0.051,0.148,0.000
2020-10-01,0.222,0.161,0.080,0.210
2020-10-02,0.261,0.010,0.114,0.005
2020-10-03,0.111,0.091,0.101,0.001
2020-10-04,0.132,0.126,0.135,0.000
2020-10-05,0.140,0.039,0.382,0.021
2020-10-06,0.036,0.321,0.186,0.058
2020-10-07,0.384,0.134,0.668,0.559
2020-10-08,0.552,1.525,3.030,0.021
2020-10-09,3.000,1.704,0.000,0.000
2020-10-10,1.329,0.000,0.055,0.871
2020-10-11,0.000,0.000,0.316,0.005
2020-10-12,0.110,0.030,0.315,0.010
2020-10-13,0.017,0.593,0.154,0.114
2020-10-14,0.201,1.104,15.596,0.163
2020-10-15,0.634,0.028,0.006,0.000
2020-10-16,0.544,0.004,0.000,0.000
2020-10-17,0.009,0.045,2.510,0.033
2020-10-18,0.199,5.202,11.473,0.149
2020-10-19,7.496,2.609,4.510,0.005
2020-10-20,6.892,0.802,0.034,0.001
2020-10-21,2.784,0.006,0.000,0.000
2020-10-22,0.024,0.075,1.595,2.017
2020-10-23,1.075,6.812,15.158,0.029
2020-10-24,4.831,3.884,0.376,0.000
2020-10-25,10.290,0.048,1.445,6.532
2020-10-26,0.084,11.318,0.556,0.000
2020-10-27,1.089,0.006,0.058,9.928
2020-10-28,0.016,0.000,6.280,2.013
2020-10-29,0.583,10.347,1.765,0.142
2020-10-30,12.593,0.483,0.159,0.012
2020-10-31,0.552,0.360,0.008,0.008
2020-11-01,0.226,0.057,0.002,0.009
2020-11-02,0.052,1.615,3.258,0.035
2020-11-03,8.172,2.366,0.895,0.045
2020-11-04,1.301,1.173,0.005,0.009
2020-11-05,2.128,0.012,0.007,0.029
2020-11-06,0.016,0.009,0.000,0.001
2020-11-07,0.009,0.011,1.701,0.949
2020-11-08,0.032,2.242,9.901,0.659
2020-11-09,0.932,4.206,14.458,10.188
2020-11-10,1.515,2.110,12.045,0.000
2020-11-11,1.571,8.388,10.098,0.000
2020-11-12,0.926,6.763,7.645,0.131
2020-11-13,5.248,1.663,0.737,0.000
2020-11-14,5.657,0.593,0.072,0.001
2020-11-15,0.420,0.794,14.968,0.480
2020-11-16,0.834,12.289,19.437,20.937
2020-11-17,10.121,16.261,8.205,0.092
2020-11-18,12.716,18.613,0.338,0.012
2020-11-19,2.272,0.638,0.031,0.000
2020-11-20,0.302,0.320,6.155,0.022
2020-11-21,0.092,3.535,11.978,0.098
2020-11-22,1.754,6.149,7.153,0.001
2020-11-23,0.051,0.190,0.328,0.000
2020-11-24,0.135,0.154,0.192,0.001
2020-11-25,0.079,0.386,0.137,0.024
2020-11-26,0.953,2.876,0.007,0.000
2020-11-27,1.144,0.007,0.001,0.000
2020-11-28,0.390,0.304,0.744,0.009
2020-11-29,1.341,3.531,6.905,8.151
2020-11-30,4.929,10.044,1.740,0.171
2020-12-01,4.030,17.546,15.537,0.909
2020-12-02,8.183,2.390,2.942,0.000
2020-12-03,1.136,7.518,5.600,0.713
2020-12-04,4.448,0.451,21.589,5.460
2020-12-05,0.568,28.855,21.002,12.614
2020-12-06,12.358,44.953,17.488,0.022
2020-12-07,16.921,9.773,0.428,0.004
2020-12-08,6.206,0.246,1.417,0.019
2020-12-09,1.240,0.913,2.083,0.107
2020-12-10,0.367,0.657,0.918,0.019
2020-12-11,0.926,0.187,3.570,4.307
2020-12-12,0.376,10.542,5.677,0.188
2020-12-13,6.176,3.816,5.136,0.125
2020-12-14,6.738,9.277,2.732,0.355
2020-12-15,9.482,13.474,16.918,5.939
2020-12-16,6.467,19.726,11.135,0.029
2020-12-17,17.900,6.210,14.592,0.067
2020-12-18,9.185,6.673,6.446,0.336
2020-12-19,4.374,0.271,13.374,1.056
2020-12-20,6.818,4.680,7.362,0.416
2020-12-21,12.918,15.763,0.972,0.008
2020-12-22,17.513,0.650,0.765,0.039
2020-12-23,0.931,0.241,0.275,0.049
2020-12-24,0.946,0.268,8.592,0.448
2020-12-25,0.524,7.861,12.181,2.751
2020-12-26,11.436,21.005,15.100,5.678
2020-12-27,19.722,11.873,19.500,3.363
2020-12-28,3.209,17.193,11.734,2.554
2020-12-29,10.148,10.296,4.200,14.887
2020-12-30,9.814,6.645,5.814,0.012
2020-12-31,9.093,13.554,0.908,0.062
2021-01-01,17.095,1.534,1.919,0.031
2021-01-02,2.303,1.722,3.736,0.006
2021-01-03,3.280,7.010,1.592,0.057
2021-01-04,7.241,0.204,8.195,0.090
2021-01-05,0.000,0.000,0.000,0.000
2021-01-06,8.915,7.424,9.931,5.217
2021-01-07,9.132,20.211,2.022,0.125
2021-01-08,0.000,0.000,0.000,0.000
2021-01-09,0.000,0.000,0.000,0.000
2021-01-10,0.000,0.000,0.000,0.000
2021-01-11,8.940,6.642,12.255,0.564
2021-01-12,15.146,22.928,11.012,0.024
2021-01-13,61.723,6.795,10.878,3.420
2021-01-14,0.000,0.000,0.000,0.000
2021-01-15,4.960,5.055,5.416,0.170
2021-01-16,0.000,0.000,0.000,0.000
2021-01-17,0.000,0.000,0.000,0.000
2021-01-18,0.000,0.000,0.000,0.000
2021-01-19,1.945,3.307,0.157,0.035
2021-01-20,0.000,0.000,0.000,0.000
2021-01-21,0.000,0.000,0.000,0.000
2021-01-22,0.000,0.000,0.000,0.000
2021-01-23,0.000,0.000,0.000,0.000
2021-01-24,0.000,0.000,0.000,0.000
2021-01-25,0.000,0.000,0.000,0.000
2021-01-26,0.000,0.000,0.000,0.000
2021-01-27,1.270,2.558,0.090,0.000
2021-01-28,0.000,0.000,0.000,0.000
2021-01-29,0.000,0.000,0.000,0.000
2021-01-30,0.000,0.000,0.000,0.000
2021-01-31,0.000,0.000,0.000,0.000
2021-02-01,0.000,0.000,0.000,0.000
2021-02-02,0.000,0.000,0.000,0.000
