Dia,PrevD1,PrevD2,PrevD3,PrevD4,PrevD5,PrevD6,PrevD7
2022-10-23,0.053,1.212,0.077,0.015,0.000,0.002,0.037
2022-10-24,0.442,0.005,0.045,0.011,13.395,1.656,15.456
2022-10-25,0.047,0.042,0.000,9.031,1.409,8.022,3.424
2022-10-26,0.062,0.049,5.335,12.801,2.769,4.634,6.945
2022-10-27,0.045,2.475,6.590,2.777,5.471,2.862,6.784
2022-10-28,5.612,2.831,1.685,22.536,3.401,0.522,0.350
2022-10-29,0.457,4.683,2.907,4.116,0.421,0.199,0.826
2022-10-30,8.389,7.397,1.066,2.175,0.799,0.574,0.057
2022-10-31,12.583,5.788,3.929,0.587,0.435,1.167,0.335
2022-11-01,1.552,3.673,2.194,0.498,1.279,0.635,1.544
2022-11-02,5.747,0.966,0.972,1.666,0.538,0.452,0.487
2022-11-03,1.101,0.523,0.431,0.039,0.067,8.448,10.359
2022-11-04,0.016,0.127,0.165,0.925,4.722,13.584,6.781
2022-11-05,0.250,0.608,6.808,4.754,4.701,0.255,0.098
2022-11-06,0.615,4.312,3.517,11.125,1.628,0.248,13.817
2022-11-07,1.226,7.105,47.995,4.890,2.275,15.834,13.348
2022-11-08,0.061,34.950,3.642,8.856,23.305,10.240,7.404
2022-11-09,4.303,3.217,5.316,13.704,10.794,10.218,9.534
2022-11-10,0.011,0.614,15.352,12.029,11.679,23.172,0.643
2022-11-11,1.326,3.056,11.356,13.471,15.587,0.260,0.253
2022-11-12,0.521,0.034,7.831,30.880,0.146,0.026,0.015
2022-11-13,0.037,3.453,15.740,0.083,0.002,0.003,0.011
2022-11-14,4.175,16.079,0.095,0.003,0.016,0.004,0.001
2022-11-15,0.690,0.002,0.006,0.000,0.000,0.021,0.094
2022-11-16,0.090,0.000,0.000,0.006,0.001,0.006,0.001
2022-11-17,0.000,0.000,0.003,0.077,0.064,0.117,10.041
2022-11-18,0.008,0.016,0.762,0.226,1.957,20.934,32.955
2022-11-19,1.281,2.407,0.172,0.522,21.410,53.936,23.353
2022-11-20,1.526,0.097,0.796,4.777,23.018,8.803,2.247
2022-11-21,0.416,0.743,30.177,42.707,57.920,14.860,22.084
2022-11-22,1.558,31.841,9.014,0.282,10.505,9.683,16.876
2022-11-23,16.618,18.683,0.758,3.835,21.982,17.991,16.783
2022-11-24,16.804,0.884,3.141,9.867,7.758,4.408,10.566
2022-11-25,2.145,2.878,2.068,6.736,8.699,10.579,8.988
2022-11-26,5.910,7.443,2.653,3.627,10.398,6.712,5.191
2022-11-27,6.118,13.138,11.031,11.830,9.678,3.665,8.824
2022-11-28,10.889,18.393,11.526,9.641,10.175,8.673,9.746
2022-11-29,8.180,11.049,4.261,5.234,4.485,12.684,12.759
2022-11-30,6.475,5.529,11.323,3.313,2.704,3.080,4.321
2022-12-01,3.397,5.515,12.929,8.767,2.287,1.500,38.338
2022-12-02,4.750,1.451,9.403,4.219,28.891,19.927,5.511
2022-12-03,7.722,2.785,0.932,13.995,16.033,9.060,0.293
2022-12-04,13.632,8.267,22.094,11.058,0.435,0.140,0.000
2022-12-05,7.567,44.320,14.460,0.217,0.000,0.000,0.000
2022-12-06,19.320,13.019,0.078,0.059,0.000,0.008,2.076
2022-12-07,7.319,0.155,0.000,0.000,0.016,3.014,35.683
2022-12-08,0.018,0.000,0.005,0.002,1.928,21.138,6.037
2022-12-09,0.471,0.036,0.102,7.415,21.329,32.832,0.487
